source_file,user_id,date,time,datetime,direction,contact,phone,type,transaction_type,amount,currency,content,status
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-23,09:48:39,2024-06-23 09:48:39,received,MobileMoney,MobileMoney,SMS,receive,10000.0,XAF,Vous avez recu 10000 XAF de LIWIR ELIAS (237650774799) sur votre compte mobile money à 2024-06-23 09:48:37. Message de l'expéditeur: 1. Votre nouveau solde: 10379 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9276258275.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-23,10:18:18,2024-06-23 10:18:18,received,MobileMoney,MobileMoney,SMS,transfer,2000.0,XAF,Transfert de 2000 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-06-23 10:18:16. FRAIS 54 FCFA. transaction Id: 9276470548. Reference: 1. Nouveau solde est: 8325 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-23,10:19:43,2024-06-23 10:19:43,received,MobileMoney,MobileMoney,SMS,transfer,1850.0,XAF,Transfert de 1850 FCFA effectue avec succes a N A Ernestine Ofoukakou (237675983542) le 2024-06-23 10:19:41. FRAIS 54 FCFA. transaction Id: 9276480751. Reference: 1. Nouveau solde est: 6421 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-23,10:55:05,2024-06-23 10:55:05,received,MobileMoney,MobileMoney,SMS,transfer,1100.0,XAF,Transfert de 1100 FCFA effectue avec succes a REENA KAY MANDZE SHIMINYI (237650301996) le 2024-06-23 10:55:03. FRAIS 52 FCFA. transaction Id: 9276733203. Reference: 1. Nouveau solde est: 5269 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-24,20:30:05,2024-06-24 20:30:05,received,MobileMoney,MobileMoney,SMS,transfer,250.0,XAF,Transfert de 250 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-06-24 20:30:02. FRAIS 50 FCFA. transaction Id: 9289413021. Reference: 1. Nouveau solde est: 4569 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-25,07:33:00,2024-06-25 07:33:00,received,MobileMoney,MobileMoney,SMS,transfer,4200.0,XAF,Transfert de 4200 FCFA effectue avec succes a N A Ernestine Ofoukakou (237675983542) le 2024-06-25 07:32:58. FRAIS 58 FCFA. transaction Id: 9291087490. Reference: 1. Nouveau solde est: 311 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-28,20:32:33,2024-06-28 20:32:33,received,MobileMoney,MobileMoney,SMS,receive,500.0,XAF,Vous avez recu 500 XAF de KLOUVIS TAHKEPE MANDZE (237677141177) sur votre compte mobile money à 2024-06-28 20:32:30. Message de l'expéditeur: :. Votre nouveau solde: 511 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9323707239.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-30,16:07:37,2024-06-30 16:07:37,received,MobileMoney,MobileMoney,SMS,receive,500.0,XAF,Vous avez recu 500 XAF de PAUL KAMGA MUWUH sur votre compte Mobile Money 2024-06-30 16:07:36. Message de l'expediteur: . Votre nouveau solde est de 511 FCFA. Frais: 0 XAF. Transaction ID: 9338534980. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-05,18:43:25,2024-07-05 18:43:25,received,MobileMoney,MobileMoney,SMS,receive,500.0,XAF,Vous avez recu 500 XAF de PAUL KAMGA MUWUH sur votre compte Mobile Money 2024-07-05 18:43:22. Message de l'expediteur: . Votre nouveau solde est de 511 FCFA. Frais: 0 XAF. Transaction ID: 9382186706. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-08,13:14:29,2024-07-08 13:14:29,received,MobileMoney,MobileMoney,SMS,receive,10100.0,XAF,Vous avez recu 10100 XAF de TOBIAS LAIKA LOYU (237677484081) sur votre compte mobile money à 2024-07-08 13:14:28. Message de l'expéditeur: bill. Votre nouveau solde: 10161 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9403974088.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-08,13:35:10,2024-07-08 13:35:10,received,MobileMoney,MobileMoney,SMS,transfer,2100.0,XAF,Transfert de 2100 FCFA effectue avec succes a ADAMU NKWAWIR (237677387324) le 2024-07-08 13:35:07. FRAIS 54 FCFA. transaction Id: 9404135555. Reference: 1. Nouveau solde est: 8007 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-08,21:14:04,2024-07-08 21:14:04,received,MobileMoney,MobileMoney,SMS,transfer,250.0,XAF,Transfert de 250 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-07-08 21:14:02. FRAIS 50 FCFA. transaction Id: 9408190473. Reference: 1. Nouveau solde est: 7437 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-09,11:32:23,2024-07-09 11:32:23,received,MobileMoney,MobileMoney,SMS,transfer,1600.0,XAF,Transfert de 1600 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-07-09 11:32:23. FRAIS 53 FCFA. transaction Id: 9411542275. Reference: 1. Nouveau solde est: 5784 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-10,14:36:20,2024-07-10 14:36:20,received,MobileMoney,MobileMoney,SMS,withdraw,5000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 5000 FCFA de votre compte mobile money, chez JULIE NUBIHA TANDAG (237679882210) le 2024-07-10 14:36:09. transaction Id: 9421836904. Votre nouveau solde: 384 XAF. Frais: 100 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-10,15:48:41,2024-07-10 15:48:41,received,MobileMoney,MobileMoney,SMS,receive,5000.0,XAF,Vous avez recu 5000 XAF de FELIX JUMBAM NTANI (237679884006) sur votre compte mobile money à 2024-07-10 15:46:24. Message de l'expéditeur: q. Votre nouveau solde: 5384 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9422406416.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-11,15:33:56,2024-07-11 15:33:56,received,MobileMoney,MobileMoney,SMS,receive,10200.0,XAF,Vous avez recu 10200 XAF de DIVINE NDI NFOR (237673078093) sur votre compte mobile money à 2024-07-11 15:33:54. Message de l'expéditeur: 1. Votre nouveau solde: 15284 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9430904447.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-11,18:31:07,2024-07-11 18:31:07,received,MobileMoney,MobileMoney,SMS,transfer,1000.0,XAF,Transfert de 1000 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-07-11 18:30:32. FRAIS 52 FCFA. transaction Id: 9432447871. Reference: debt. Nouveau solde est: 13232 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-11,18:31:51,2024-07-11 18:31:51,received,MobileMoney,MobileMoney,SMS,transfer,500.0,XAF,Transfert de 500 FCFA effectue avec succes a REENA KAY MANDZE SHIMINYI (237650301996) le 2024-07-11 18:31:50. FRAIS 51 FCFA. transaction Id: 9432459809. Reference: debt. Nouveau solde est: 12681 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-12,14:21:40,2024-07-12 14:21:40,received,MobileMoney,MobileMoney,SMS,withdraw,12000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 12000 FCFA de votre compte mobile money, chez JULIE NUBIHA TANDAG (237679882210) le 2024-07-12 14:21:36. transaction Id: 9438867717. Votre nouveau solde: 341 XAF. Frais: 240 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-13,13:13:28,2024-07-13 13:13:28,received,MobileMoney,MobileMoney,SMS,receive,53000.0,XAF,Vous avez recu 53000 XAF de IDA FALONE KENFACK (237681965784) sur votre compte mobile money à 2024-07-13 13:13:25. Message de l'expéditeur: d. Votre nouveau solde: 53041 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9446846337.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-13,14:48:39,2024-07-13 14:48:39,received,MobileMoney,MobileMoney,SMS,transfer,3000.0,XAF,Transfert de 3000 FCFA effectue avec succes a REENA KAY MANDZE SHIMINYI (237650301996) le 2024-07-13 14:48:37. FRAIS 56 FCFA. transaction Id: 9447578281. Reference: 1. Nouveau solde est: 49885 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-13,16:59:14,2024-07-13 16:59:14,received,MobileMoney,MobileMoney,SMS,withdraw,20000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 20000 FCFA de votre compte mobile money, chez BERINYUY BENITOS WIRBA NWBDA_POLAS_BTQ_MILE2 (237670263532) le 2024-07-13 16:58:53. transaction Id: 9448625184. Votre nouveau solde: 29485 XAF. Frais: 400 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-13,17:11:45,2024-07-13 17:11:45,received,MobileMoney,MobileMoney,SMS,withdraw,2000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 2000 FCFA de votre compte mobile money, chez BERINYUY BENITOS WIRBA NWBDA_POLAS_BTQ_MILE2 (237670263532) le 2024-07-13 17:11:42. transaction Id: 9448735632. Votre nouveau solde: 27435 XAF. Frais: 50 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-15,13:31:27,2024-07-15 13:31:27,received,MobileMoney,MobileMoney,SMS,transfer,10200.0,XAF,Transfert de 10200 FCFA effectue avec succes a ALEXANDER NYUYDINI YUFENYUY (237671941980) le 2024-07-15 13:31:25. FRAIS 70 FCFA. transaction Id: 9463508210. Reference: 1. Nouveau solde est: 16865 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-16,07:56:28,2024-07-16 07:56:28,received,MobileMoney,MobileMoney,SMS,transfer,3100.0,XAF,Transfert de 3100 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-07-16 07:56:28. FRAIS 56 FCFA. transaction Id: 9468914074. Reference: 1. Nouveau solde est: 13609 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-07-16,14:35:22,2024-07-16 14:35:22,received,MobileMoney,MobileMoney,SMS,withdraw,12000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 12000 FCFA de votre compte mobile money, chez JULIE NUBIHA TANDAG (237679882210) le 2024-07-16 14:35:10. transaction Id: 9472168979. Votre nouveau solde: 1369 XAF. Frais: 240 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-10-31,20:04:40,2024-10-31 20:04:40,received,MobileMoney,MobileMoney,SMS,withdraw,100.0,XAF,"Une transaction de 100 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2024-10-31 20:04:28. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 4082 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 10418935387. ID de transaction externe : 7440944970383342752.  MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-11-01,07:38:06,2024-11-01 07:38:06,received,MobileMoney,MobileMoney,SMS,withdraw,1100.0,XAF,"Transfert de 1100 FCFA effectue avec succes a ODILA SHIYLA VERNYUY (237677899805) le 2024-11-01 07:38:04. FRAIS 52 FCFA. transaction Id: 10421434035. Reference: 1. Nouveau solde est: 2930 FCFA. MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-11-01,07:39:37,2024-11-01 07:39:37,received,MobileMoney,MobileMoney,SMS,withdraw,100.0,XAF,"Une transaction de 100 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2024-11-01 07:39:28. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 2830 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 10421441992. ID de transaction externe : 3270783861577442865.  MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-11-01,09:33:04,2024-11-01 09:33:04,received,MobileMoney,MobileMoney,SMS,withdraw,100.0,XAF,"Une transaction de 100 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2024-11-01 09:32:43. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 2730 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 10422438200. ID de transaction externe : 508362724916729093.  MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-11-01,11:06:10,2024-11-01 11:06:10,received,MobileMoney,MobileMoney,SMS,withdraw,1050.0,XAF,"Transfert de 1050 FCFA effectue avec succes a ADAMU NKWAWIR (237677387324) le 2024-11-01 11:06:09. FRAIS 52 FCFA. transaction Id: 10423327670. Reference: 1. Nouveau solde est: 1628 FCFA. MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-11-02,04:02:03,2024-11-02 04:02:03,received,MobileMoney,MobileMoney,SMS,withdraw,100.0,XAF,"Une transaction de 100 XAF effectuee par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee avec succes a 2024-11-02 04:01:53. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 1528 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite a 0. Identifiant de transaction financiere : 10430819609. ID de transaction externe : 5108986803145392667.  MoMo casse les prix pour ses clients ! Désormais, 25% de baisse sur tous vos retraits. RDV dans vos points MoMo. Plus d'infos au 8787 ou WhatsApp 650528787",success
